perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-uri 1.76-3
perl-www-robotrules 6.02-7
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-sax-expat 0.51-6
php 7.4.7-1
php-gd 7.4.7-1
php-intl 7.4.7-1
picom 8-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
playerctl 2.1.1-1
polkit 0.116-5
polybar-git 3.4.0.r83.g61dfe739-1
popcorntime 0.4.4-1
poppler 0.88.0-1
poppler-data 0.4.9-2
poppler-glib 0.88.0-1
popt 1.16-12
portmidi 217-9
potrace 1.16-2
procps-ng 3.3.16-2
protobuf 3.12.0-1
psmisc 23.3-2
pugixml 1.10-1
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pygobject-devel 3.36.1-1
python 3.8.3-1
python-anytree 2.8.0-1
python-appdirs 1.4.4-1
python-attrs 19.3.0-4
python-automat 20.2.0-2
python-beaker 1.11.0-4
python-beautifulsoup4 4.9.1-1
python-cachecontrol 0.12.6-1
python-cachetools 4.1.0-1
python-cairo 1.19.1-1
python-cffi 1.14.0-3
python-chardet 3.0.4-5
python-click 7.1.2-1
python-colorama 0.4.3-1
python-configobj 5.0.6-7
python-constantly 15.1.0-6
python-contextlib2 0.6.0.post1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-docopt 0.6.2-7
python-gobject 3.36.1-1
python-gpgme 1.13.1-7
python-html5lib 1.0.1-7
python-hyperlink 19.0.0-6
python-idna 2.9-1
python-incremental 17.5.0-4
python-lxml 4.5.1-1
python-magic 5.39-1
python-mako 1.1.3-1
python-markdown 3.1.1-4
python-markupsafe 1.1.1-4
python-msgpack 1.0.0-1
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pep517 0.8.2-1
python-pillow 6.2.1-1
